Movement,IMU1 AccX Average,IMU1 AccX Minimum,IMU1 AccX Maximum,IMU1 AccX RMS,IMU1 AccX Stdev,IMU1 AccX Skewness,IMU1 AccX Kurtosis,IMU1 AccY Average,IMU1 AccY Minimum,IMU1 AccY Maximum,IMU1 AccY RMS,IMU1 AccY Stdev,IMU1 AccY Skewness,IMU1 AccY Kurtosis,IMU1 AccZ Average,IMU1 AccZ Minimum,IMU1 AccZ Maximum,IMU1 AccZ RMS,IMU1 AccZ Stdev,IMU1 AccZ Skewness,IMU1 AccZ Kurtosis,IMU1 GyroX Average,IMU1 GyroX Minimum,IMU1 GyroX Maximum,IMU1 GyroX RMS,IMU1 GyroX Stdev,IMU1 GyroX Skewness,IMU1 GyroX Kurtosis,IMU1 GyroY Average,IMU1 GyroY Minimum,IMU1 GyroY Maximum,IMU1 GyroY RMS,IMU1 GyroY Stdev,IMU1 GyroY Skewness,IMU1 GyroY Kurtosis,IMU1 GyroZ Average,IMU1 GyroZ Minimum,IMU1 GyroZ Maximum,IMU1 GyroZ RMS,IMU1 GyroZ Stdev,IMU1 GyroZ Skewness,IMU1 GyroZ Kurtosis,IMU2 AccX Average,IMU2 AccX Minimum,IMU2 AccX Maximum,IMU2 AccX RMS,IMU2 AccX Stdev,IMU2 AccX Skewness,IMU2 AccX Kurtosis,IMU2 AccY Average,IMU2 AccY Minimum,IMU2 AccY Maximum,IMU2 AccY RMS,IMU2 AccY Stdev,IMU2 AccY Skewness,IMU2 AccY Kurtosis,IMU2 AccZ Average,IMU2 AccZ Minimum,IMU2 AccZ Maximum,IMU2 AccZ RMS,IMU2 AccZ Stdev,IMU2 AccZ Skewness,IMU2 AccZ Kurtosis,IMU2 GyroX Average,IMU2 GyroX Minimum,IMU2 GyroX Maximum,IMU2 GyroX RMS,IMU2 GyroX Stdev,IMU2 GyroX Skewness,IMU2 GyroX Kurtosis,IMU2 GyroY Average,IMU2 GyroY Minimum,IMU2 GyroY Maximum,IMU2 GyroY RMS,IMU2 GyroY Stdev,IMU2 GyroY Skewness,IMU2 GyroY Kurtosis,IMU2 GyroZ Average,IMU2 GyroZ Minimum,IMU2 GyroZ Maximum,IMU2 GyroZ RMS,IMU2 GyroZ Stdev,IMU2 GyroZ Skewness,IMU2 GyroZ Kurtosis,IMU3 AccX Average,IMU3 AccX Minimum,IMU3 AccX Maximum,IMU3 AccX RMS,IMU3 AccX Stdev,IMU3 AccX Skewness,IMU3 AccX Kurtosis,IMU3 AccY Average,IMU3 AccY Minimum,IMU3 AccY Maximum,IMU3 AccY RMS,IMU3 AccY Stdev,IMU3 AccY Skewness,IMU3 AccY Kurtosis,IMU3 AccZ Average,IMU3 AccZ Minimum,IMU3 AccZ Maximum,IMU3 AccZ RMS,IMU3 AccZ Stdev,IMU3 AccZ Skewness,IMU3 AccZ Kurtosis,IMU3 GyroX Average,IMU3 GyroX Minimum,IMU3 GyroX Maximum,IMU3 GyroX RMS,IMU3 GyroX Stdev,IMU3 GyroX Skewness,IMU3 GyroX Kurtosis,IMU3 GyroY Average,IMU3 GyroY Minimum,IMU3 GyroY Maximum,IMU3 GyroY RMS,IMU3 GyroY Stdev,IMU3 GyroY Skewness,IMU3 GyroY Kurtosis,IMU3 GyroZ Average,IMU3 GyroZ Minimum,IMU3 GyroZ Maximum,IMU3 GyroZ RMS,IMU3 GyroZ Stdev,IMU3 GyroZ Skewness,IMU3 GyroZ Kurtosis
1,0.024235294,0.012,0.04,0.025603309,0.008511238,0.237147896,-0.976036324,-0.729882353,-0.816,-0.458,0.734585918,0.085549607,2.132308642,4.300367252,-0.638,-0.724,-0.386,0.642537433,0.078571623,2.14155033,4.50002715,1.399529412,-4.554,12.55,5.589395506,5.577887213,0.806764007,-0.815362892,-1.711411765,-9.116,5.958,4.981989421,4.82280975,0.145547359,-1.127406553,-0.373764706,-8.106,5.714,4.06100541,4.168221316,-0.556370766,-0.817861614,-0.767176471,-0.836,-0.474,0.771932792,0.088193137,2.49879915,5.543306291,0.020588235,-0.034,0.064,0.038314488,0.033307392,-0.407127387,-1.169121606,-0.562588235,-0.622,-0.352,0.566271188,0.066463391,2.065768249,4.033438883,-1.483058824,-6.764,3.942,3.323891199,3.066241765,0.159528385,-0.704740601,-2.284705882,-15.554,6.08,7.415331082,7.271705953,-0.600959413,-1.095592031,1.671647059,-3.21,5.568,2.92009053,2.467956162,-0.47048086,-0.622484345,-0.702,-1.036,-0.346,0.728347848,0.200104972,-0.006984618,-1.153777035,-0.300941176,-0.432,-0.18,0.307199112,0.063588984,-0.250336107,-0.338031254,0.505647059,0.08,0.896,0.564172689,0.257924636,-0.118723078,-1.246383584,-1.321176471,-31.85,23.388,18.63462386,19.15979333,-0.387243787,-1.238293986,1.348705882,-47.046,71.912,34.65956657,35.69920456,0.741435091,-0.713267173,1.503647059,-13.292,15.698,8.414763035,8.534136606,0.074425995,-0.726856207
1,-0.026941176,-0.12,0.016,0.05523213,0.049699686,-0.843411975,-0.917129979,-1.157647059,-2.3,-0.668,1.368055898,0.751428385,-0.902775163,-1.183335388,-1.126117647,-2.204,-0.662,1.31784048,0.705583259,-0.903255716,-1.182614203,0.131411765,-5.336,7.032,3.255409796,3.352864504,0.400841553,-0.615170778,2.280823529,-3.492,11.096,4.769745116,4.31799514,0.716039405,-0.783027927,0.233529412,-6.15,4.762,2.54596368,2.613256066,-0.744166287,0.550323926,-0.781882353,-0.85,-0.732,0.783020096,0.043494083,-0.65009343,-1.24069216,-0.006588235,-0.04,0.018,0.018597913,0.01792714,-0.68202468,-0.82849626,-0.628705882,-0.688,-0.586,0.629588474,0.0343507,-0.583096258,-1.118489331,-1.809882353,-5.286,2.61,2.54576049,1.84541289,0.128099492,0.714094392,0.084823529,-8.998,7.788,4.615599305,4.756847383,-0.33437214,-0.731418426,2.650470588,-2.392,8.656,3.966173174,3.041320645,0.417870317,-0.839333081,-0.753647059,-0.94,-0.634,0.759190901,0.094398716,-0.416794942,-0.979763732,-0.377176471,-0.44,-0.292,0.379083104,0.039141147,0.386057644,-0.408072334,0.451176471,0.154,0.646,0.471641689,0.141654613,-0.471485606,-0.790877092,0.407764706,-26.464,19.056,14.53265164,14.97401658,-0.723061036,-0.820837287,1.833647059,-30.286,54.748,24.27240676,24.94792948,0.854733671,-0.485306919,3.315176471,-6.774,23.034,9.114493319,8.751503758,0.799529586,-0.372577448
1,-0.00475,-0.034,0.016,0.018493242,0.018458963,-0.317527633,-1.522632464,-0.681625,-0.7,-0.648,0.681734002,0.01259034,1.072659748,1.266053005,-0.703625,-0.736,-0.684,0.703867708,0.019088827,-0.752925518,-1.115619013,0.857,-5.336,6.288,3.494878539,3.499291662,0.098921599,-0.895301154,1.433125,-3.784,11.096,4.681871394,4.60331156,0.77776948,-0.705153554,-0.536875,-6.604,4.762,2.981097659,3.028523686,-0.289197491,-0.635743568,-0.759125,-0.79,-0.732,0.759300171,0.016843891,0.147447899,-1.024728741,-0.013375,-0.04,0.018,0.021065374,0.016808232,0.032164716,-0.934476652,-0.622375,-0.656,-0.596,0.622698763,0.020736039,-0.29628225,-1.382421455,-0.853625,-2.464,1.244,1.268539613,0.969132731,0.365316964,-0.358483121,-0.500625,-7.482,7.788,4.413643025,4.528972729,0.142795309,-0.788797084,0.6305,-4.052,6.702,3.23880603,3.281029798,0.352059114,-0.709467696,-0.723875,-0.888,-0.604,0.730393216,0.10055438,-0.271322126,-1.432755824,-0.371625,-0.44,-0.272,0.374610798,0.048750897,0.510898831,-0.78190407,0.5,0.254,0.646,0.517765391,0.138875484,-0.480278091,-1.315990263,-1.094625,-33.118,19.056,16.13734829,16.62819472,-0.776488738,-0.793661913,2.926625,-30.286,55.556,25.55757412,26.22211709,0.70842031,-0.765790848,5.122125,-6.774,18.52,9.410932061,8.153819734,0.153117074,-1.140083997
1,-0.010588235,-0.034,0.016,0.017190969,0.013960027,0.262424679,-0.496885742,-0.687176471,-0.718,-0.648,0.687326106,0.01478274,0.416402751,1.858819688,-0.706,-0.736,-0.682,0.706223261,0.018303005,-0.495760626,-1.221229673,1.284823529,-2.392,6.288,3.003945053,2.79887862,0.693428208,-0.893206292,-0.149058824,-3.784,5.642,3.022561866,3.111794588,0.729293061,-0.885399292,-0.355411765,-6.604,4.224,3.018711256,3.089974738,-0.337064163,-0.835077095,-0.769529412,-0.804,-0.734,0.769679689,0.015676884,0.007204081,0.685356902,-0.008,-0.032,0.03,0.019451297,0.018275667,0.339422655,-0.618680304,-0.630941176,-0.658,-0.596,0.631226444,0.019559111,0.325254017,-1.073529553,-0.981882353,-2.576,1.244,1.407341089,1.039253691,0.340737717,-0.50449001,-1.449294118,-7.482,2.04,3.371029272,3.13725142,-0.741175756,-0.641930829,0.658823529,-4.052,5.128,2.721093465,2.721386601,-0.44545837,-0.800104264,-0.702,-0.888,-0.578,0.708639293,0.099754699,-0.439389311,-1.118171125,-0.351058824,-0.42,-0.272,0.35326111,0.040596291,-0.090871352,-0.694548446,0.539411765,0.254,0.71,0.55437872,0.131885869,-0.76763805,-0.563009944,0.178235294,-33.118,19.374,17.03624168,17.5595949,-0.667473252,-0.978810232,3.213529412,-29.75,55.556,26.37523556,26.98442461,0.540112151,-0.931623241,4.067411765,-7.652,18.52,8.837898433,8.087793171,0.353272293,-1.099609668
1,-0.012235294,-0.034,0,0.015612966,0.009997058,-0.81032734,-0.327052908,-0.683764706,-0.722,-0.62,0.68423491,0.026142708,0.846252868,0.445056103,-0.702823529,-0.722,-0.682,0.702910253,0.011381099,-0.30478354,-0.716566652,-0.696705882,-3.662,1.334,1.723692207,1.625137831,-0.4950818,-0.965995966,-1.831647059,-11.098,5.642,4.902657599,4.687610331,-0.477176726,-0.361493291,0.599294118,-3.052,4.224,2.170279245,2.150091503,-0.048853215,-0.954812807,-0.770823529,-0.804,-0.73,0.771061911,0.019761817,0.059960224,-0.474783944,-0.013764706,-0.032,0.03,0.02297313,0.018958934,1.075797511,-0.029059136,-0.626,-0.658,-0.608,0.626131165,0.013209845,-0.977957779,0.242186025,-0.295647059,-2.576,3.002,1.677671425,1.70224047,0.737935609,-0.619974009,-0.553529412,-4.392,2.04,2.214496145,2.210191907,-0.457481882,-1.195751923,-0.360941176,-7.542,5.128,4.062565576,4.171036509,-0.724006797,-0.93184682,-0.707764706,-0.874,-0.566,0.71591521,0.111035765,-0.284143897,-1.402793565,-0.349058824,-0.42,-0.28,0.351038459,0.038373934,-0.256923045,-0.605393818,0.542823529,0.302,0.734,0.562358897,0.151458012,-0.418531346,-1.264970797,4.433176471,-25.39,21.644,16.52218104,16.40617265,-0.738357127,-1.001157535,1.233176471,-29.75,41.832,22.15911381,22.80569448,0.375315282,-0.913393177,1.183058824,-7.652,11.902,6.427439084,6.512055479,0.649679062,-1.047553499
1,-0.01025,-0.036,0.014,0.018814888,0.016295194,-0.49884003,-1.070750413,-0.68575,-0.728,-0.62,0.686437543,0.031722757,0.607645586,-0.686233876,-0.702375,-0.732,-0.676,0.702541636,0.015802426,-0.094380841,-0.851808882,-2.350625,-10.302,2.686,4.185514634,3.576679258,-0.437793484,-0.453276679,-0.857125,-11.098,7.372,5.512289656,5.62382304,-0.406615399,-0.847611404,0.9705,-3.052,4.98,2.493731341,2.372470049,-0.154910892,-1.055776683,-0.764375,-0.8,-0.706,0.764751757,0.024789447,0.627329684,0.122580955,-0.01375,-0.032,0.014,0.01917029,0.013796135,0.555952765,-0.778076132,-0.620125,-0.642,-0.608,0.620182836,0.008747381,-0.850279,0.635178418,0.33275,-2.028,3.002,1.427743324,1.433960832,0.42598988,-0.620222846,1.008125,-4.392,8.18,4.030785128,4.030670778,0.333491909,-1.021602694,-0.2285,-7.542,6.618,4.634701824,4.780878441,-0.237426035,-1.122420183,-0.722875,-0.88,-0.566,0.730418887,0.108140572,-0.229622131,-1.343817462,-0.357125,-0.402,-0.28,0.358861046,0.036412223,0.698634277,-0.57206226,0.5275,0.302,0.734,0.546869729,0.14898859,-0.331246655,-1.283603712,5.2415,-25.39,26.552,17.7249044,17.48748623,-0.616981836,-1.048761577,-2.47675,-42.552,41.832,23.26875097,23.89533803,0.376180719,-0.67275639,1.293625,-11.096,11.902,6.61977679,6.705061102,0.107017124,-0.733444815
1,-0.002,-0.036,0.014,0.013983183,0.014265343,-1.513676894,1.542101069,-0.662705882,-0.728,-0.572,0.66427404,0.047020959,0.445422948,-0.971259118,-0.705647059,-0.746,-0.676,0.705926842,0.020484571,-0.484809632,-0.776455266,-2.098823529,-10.302,7.654,5.176833009,4.877929738,0.308850908,-0.734084047,-2.749058824,-14.208,7.372,7.474897709,7.164954261,-0.308598091,-1.191304375,0.899529412,-3.224,4.98,2.90123641,2.843153314,-0.330100934,-1.511009199,-0.733176471,-0.786,-0.662,0.734019714,0.03625644,0.276298335,-0.772927257,0.001176471,-0.032,0.034,0.015354631,0.015780666,-0.230466654,0.110330823,-0.600941176,-0.642,-0.54,0.601598655,0.028983768,0.67637909,-0.705058862,1.955764706,-2.028,8.264,3.77544101,3.328775742,0.745989055,-0.98313144,0.929647059,-5.372,8.18,4.13975265,4.158171487,0.140192204,-0.987191391,-1.484117647,-11.316,6.618,5.996476789,5.988724759,-0.367545976,-1.128538353,-0.699058824,-0.88,-0.498,0.705724159,0.099742462,0.078895524,-0.487260311,-0.337764706,-0.408,-0.2,0.344620166,0.070501356,0.871362393,-0.645143427,0.560117647,0.304,0.884,0.579779877,0.154316996,0.189086348,-0.407329803,2.898941176,-25.108,26.552,17.82998015,18.13417638,-0.418545554,-1.350089362,5.138117647,-42.552,65.43,35.82791229,36.54882333,0.562132745,-1.219130371,0.494,-11.096,7.778,5.527113979,5.674417371,-0.462459371,-0.835765381
1,0.002625,-0.01,0.016,0.007399324,0.007144928,0.043853278,-0.413522364,-0.66375,-0.728,-0.572,0.665375082,0.047999306,0.540279038,-1.006615828,-0.72775,-0.79,-0.688,0.728285315,0.028834008,-0.920312124,0.159532859,-1.0885,-8.352,7.654,4.166311618,4.153497514,0.355942228,-0.409171573,-2.909875,-14.208,7.788,7.567494252,7.214769794,-0.301652991,-1.183181017,0.701,-3.224,4.406,2.918018677,2.925461924,-0.165891101,-1.65583263,-0.716625,-0.768,-0.662,0.71719192,0.029445713,0.139841649,-0.751277311,-0.01025,-0.048,0.034,0.026057628,0.024742676,-0.071966869,-1.069171145,-0.59025,-0.64,-0.54,0.591011421,0.030974183,-0.064668256,-1.068217754,1.159,-4.21,8.264,4.279027284,4.254164203,0.379668507,-1.269502008,0.594875,-5.372,6.848,3.91269303,3.994034283,0.12537009,-1.060255587,-1.454625,-11.316,6.394,6.162251841,6.184489317,-0.400315273,-1.299523584,-0.682125,-0.836,-0.498,0.688168039,0.093982889,0.007548129,-0.612842504,-0.315,-0.424,-0.2,0.322243697,0.070169319,0.117037902,-1.073271675,0.57025,0.304,0.884,0.590453639,0.158157516,0.05719965,-0.572903725,4.285625,-25.108,30.788,19.49524282,19.64207487,-0.400058869,-1.357765167,5.08275,-55.408,65.43,40.72123355,41.72781025,0.140618516,-1.404018069,-0.183625,-10.606,6.884,5.739538592,5.924735503,-0.24631177,-1.413083131
1,0.006133333,-0.008,0.028,0.010456258,0.008765734,0.675496295,0.966402215,-0.710933333,-0.76,-0.67,0.711349516,0.025183517,-0.20019735,-0.603493816,-0.735866667,-0.79,-0.668,0.736566992,0.033239105,-0.001906842,-0.415371925,1.726266667,-4.542,7.666,4.429402337,4.222339627,-0.074120816,-1.118731982,0.072266667,-8.156,7.788,4.925901285,5.0982435,-0.300927998,-1.140203194,0.701866667,-1.892,4.406,2.352531573,2.324202163,0.340413541,-1.305555968,-0.760933333,-0.862,-0.68,0.762526153,0.050989448,-0.310901127,-0.656158156,-0.012933333,-0.048,0.026,0.026497799,0.023938811,-0.033606515,-1.285233572,-0.616133333,-0.676,-0.546,0.61724355,0.038303052,-0.121569809,-0.842461972,-2.355866667,-5.248,0.438,2.958433955,1.85228345,0.024736855,-1.266612259,-2.081066667,-11.476,6.848,6.408897274,6.274363297,0.032097871,-1.202741602,1.382,-3.418,6.394,3.159353647,2.940770939,0.27231617,-1.087116317,-0.683333333,-0.83,-0.57,0.687016933,0.073541695,-0.332254073,-0.624219934,-0.304666667,-0.424,-0.246,0.308906458,0.0527943,-0.946273756,-0.247265389,0.5508,0.328,0.802,0.571739101,0.158694315,-0.023355948,-1.271756064,10.51973333,-16.36,30.788,16.92148395,13.71932278,-0.653676008,-0.271784235,1.3616,-55.408,51.086,33.32517345,34.46602723,-0.132394502,-1.030401439,0.714266667,-10.606,13.818,6.930254118,7.135292961,0.014568865,-1.037376693
1,0.006117647,-0.004,0.028,0.009405881,0.007364462,1.376445378,2.655714612,-0.682588235,-0.762,-0.554,0.685405848,0.063995174,0.670774749,-0.602028025,-0.702470588,-0.776,-0.61,0.703615035,0.041349301,0.272150285,0.148511646,2.489411765,-4.298,7.666,4.874195439,4.319507887,-0.460671497,-1.246334139,-1.031176471,-8.156,4.882,4.301185527,4.3042626,-0.281911489,-1.313010414,0.322,-3.636,4.322,2.212391785,2.25619824,0.211485411,-0.929378763,-0.758352941,-0.862,-0.612,0.761475657,0.071011391,0.401056618,-0.679674895,-0.015176471,-0.056,0.026,0.027725546,0.023917136,0.053090275,-1.161072806,-0.617529412,-0.676,-0.54,0.618685323,0.038964916,0.150758796,-0.574587654,-1.286705882,-5.248,8.788,3.366059976,3.206153376,1.758267454,3.877369637,-2.657764706,-11.476,6.688,6.452031162,6.06014067,0.327384163,-1.054779953,-0.663411765,-7.948,3.284,3.138291067,3.161772111,-1.244375679,0.844139567,-0.710705882,-0.854,-0.57,0.714831613,0.079050431,-0.018134146,-0.592704107,-0.305058824,-0.374,-0.246,0.30724851,0.037743328,-0.260747494,-1.146017433,0.545764706,0.328,0.802,0.562764395,0.141500676,0.158256921,-0.860844925,6.697411765,-20.396,29.556,18.04176085,17.26819109,-0.181450701,-1.343743923,0.146117647,-44.14,51.086,29.84390403,30.76202344,0.122804434,-0.933837399,0.186588235,-10.682,13.818,7.799942353,8.037695776,-0.068809167,-1.452742023
